ID,Name,Gender,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
9490,Tariku Bekele Beyecha,M,25,173,65,Ethiopia,ETH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 10 000 metres,Bronze
9567,Mathew Belcher,M,29,173,62,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,Gold
9573,Claudia Renate Belderbos,F,27,175,72,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
9750,Mireia Belmonte Garca,F,21,170,59,Spain,ESP,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Silver
9750,Mireia Belmonte Garca,F,21,170,59,Spain,ESP,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,Silver
10048,Meaghan Benfeito,F,23,155,48,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Platform,Bronze
10151,Julien Benneteau,M,30,185,79,France-2,FRA,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Doubles,Bronze
10337,"Richard ""Ricky"" Berens",M,24,188,93,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
10337,"Richard ""Ricky"" Berens",M,24,188,93,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
10357,Yury Viktorovich Berezhko,M,28,198,97,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
10390,Lindsey Napela Berg,F,32,173,77,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
10430,"Gabriel ""Gabe"" Bergen",M,30,187,92,Canada,CAN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Silver
10591,Denys Yuriyovych Berinchyk,M,24,170,64,Ukraine,UKR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,Silver
10612,Lobke Berkhout,F,31,183,70,Netherlands,NED,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Bronze
10614,Krisztin Berki,M,27,178,70,Hungary,HUN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
10641,Yanet Bermoy Acosta,F,25,154,48,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Silver
10674,Alain Andr Louis Edmond Bernard,M,29,196,90,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
11119,"Samuel Ryan ""Sam"" Bewley",M,25,192,80,New Zealand,NZL,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Pursuit  4 000 metres,Bronze
11146,Jamie Lynn Beyerle-Gray (-Corkish),F,28,157,55,United States,USA,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Small-Bore Rifle  Three Positions  50 metres,Gold
11299,Damir Biani,M,27,194,95,Croatia,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze
11653,Emanuele Birarelli,M,31,202,95,Italy,ITA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Bronze
11671,"Suzanne Brigit ""Sue"" Bird",F,31,175,66,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
11757,Ole Bischof,M,32,180,81,Germany,GER,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Middleweight,Silver
11779,Abby Bishop,F,23,189,85,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze
11836,Stuart Bithell,M,25,186,80,Great Britain,GBR,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,Silver
12086,Yohan Blake,M,22,180,80,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,Silver
12086,Yohan Blake,M,22,180,80,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,Silver
12086,Yohan Blake,M,22,180,80,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
12113,Elisa Blanchi,F,24,168,49,Italy,ITA,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
12173,Andrea Blas Martnez,F,20,173,81,Spain,ESP,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Silver
12244,Keston Bledman,M,24,180,88,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
12291,Anastasiya Ilyinichna Bliznyuk,F,18,173,51,Russia,RUS,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
12490,Jack Bobridge,M,23,180,65,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Pursuit  4 000 metres,Silver
12653,Mathias Boe,M,32,185,75,Denmark,DEN,2012 Summer,2012,Summer,London,Badminton,Badminton Men's Doubles,Silver
12707,Sylwia Katarzyna Bogacka,F,30,162,57,Poland,POL,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Air Rifle  10 metres,Silver
12741,Aleksandr Viktorovich Bogdanovich,M,30,191,97,Belarus,BLR,2012 Summer,2012,Summer,London,Canoeing,Canoeing Men's Canadian Doubles  1 000 metres,Silver
12742,Andrey Viktorovich Bogdanovich,M,24,193,87,Belarus,BLR,2012 Summer,2012,Summer,London,Canoeing,Canoeing Men's Canadian Doubles  1 000 metres,Silver
12984,Timo Boll,M,31,181,74,Germany,GER,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Men's Team,Bronze
13029,Usain St. Leo Bolt,M,25,196,95,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,Gold
13029,Usain St. Leo Bolt,M,25,196,95,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,Gold
13029,Usain St. Leo Bolt,M,25,196,95,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
13120,Hamish Byron Bond,M,26,189,89,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Pairs,Gold
13219,Dante Boninfante,M,35,188,85,Italy,ITA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Bronze
13229,Bartomiej Wojciech Bonk,M,27,181,105,Poland,POL,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Heavyweight,Bronze
13251,Charlotte Bonnet,F,17,175,64,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
13369,Rachel Kristine Bootsma,F,18,173,66,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
13717,Edith Bosch,F,32,183,70,Netherlands,NED,2012 Summer,2012,Summer,London,Judo,Judo Women's Middleweight,Bronze
13752,Miho Bokovi,M,29,196,96,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
13969,David Alasdair Boudia,M,23,175,73,United States,USA,2012 Summer,2012,Summer,London,Diving,Diving Men's Platform,Gold
13969,David Alasdair Boudia,M,23,175,73,United States,USA,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Platform,Bronze
14202,Carline Bouw,F,27,184,72,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
